,CV,Entropy
0,0.5004161119226873,0.9434304978011055
1,0.38248022167131374,0.9645387333454539
2,0.3870921456424904,0.9692181226661415
3,0.6576185505350394,0.8968484095561369
4,0.16274424420925615,0.9943437502985527
5,0.16842658902188698,0.994062375044418
6,0.12144200261853394,0.9966259902430341
7,0.0007759873965883905,0.9999998673964622
8,0.24649494590547144,0.9859300395039705
9,0.5004161119226873,0.9434304978011053
10,0.5004161119226873,0.9434304978011053
11,0.5004161119226874,0.9434304978011055
12,0.5004161119226872,0.9434304978011055
13,0.5004161119226873,0.9434304978011053
14,0.5004161119226874,0.9434304978011055
15,0.5004161119226873,0.9434304978011055
16,0.5004161119226874,0.9434304978011055
17,0.6382847385042254,0.8993279032346504
18,0.2200974933396436,0.9894640644229127
19,0.5004161119226873,0.9434304978011055
20,0.5004161119226874,0.9434304978011055
21,0.5004161119226873,0.9434304978011055
22,0.5004161119226874,0.9434304978011055
23,0.5004161119226874,0.9434304978011055
24,0.5004161119226873,0.9434304978011055
25,0.5004161119226874,0.9434304978011055
26,2.6457513110645907,-0.0
27,0.408248290463863,0.9615862351816215
28,0.408248290463863,0.9615862351816215
29,0.5004161119226874,0.9434304978011055
30,0.5004161119226874,0.9434304978011055
31,0.5004161119226873,0.9434304978011055
