,TOPSIS full dataset,TOPSIS CV q1,TOPSIS Entropy q3
$A_{1}$,0.5181056492521843,0.46231080696389176,0.46231080696389176
$A_{2}$,0.5297369481263382,0.46050427945257844,0.46050427945257844
$A_{3}$,0.6172871354117586,0.6143842411396011,0.6143842411396011
$A_{4}$,0.5287173061371753,0.5020335409055333,0.5020335409055333
$A_{5}$,0.3524792628221595,0.30583188148392015,0.30583188148392015
$A_{6}$,0.6053054039350976,0.6210575336261122,0.6210575336261122
$A_{7}$,0.32920887021932155,0.3304296256453673,0.3304296256453673
