,100,95,90,85,80,75,70,65,60,55,50
0,5,5,5,5,4,4,4,4,4,4,4
1,3,4,4,4,5,5,5,5,5,5,5
2,1,2,2,2,1,2,2,2,2,2,2
3,4,3,3,3,3,3,3,3,3,3,3
4,6,6,7,7,7,7,7,7,7,7,7
5,2,1,1,1,2,1,1,1,1,1,1
6,7,7,6,6,6,6,6,6,6,6,6
